trade_id,side,entry_time,exit_time,entry_price,exit_price,take_profit,stop_loss,exit_reason,pnl,level_type,cluster_size,level_order,dataset_month
20,short,2024-12-19 09:08:00,2024-12-20 00:19:00,69.922,69.122,69.122,,take_profit,0.8,resistance,0,1,2024-12
21,short,2024-12-19 13:54:00,2024-12-19 15:17:00,70.4286,69.922,69.922,,take_profit,0.5066,resistance,0,2,2024-12
22,short,2024-12-24 10:57:00,2025-01-31 21:59:00,69.8825,73.86,69.0825,,end_of_data,-3.9775,resistance,0,1,2024-12
23,short,2024-12-24 15:26:00,2024-12-26 17:15:00,70.3667,69.8825,69.8825,,take_profit,0.4842,resistance,0,2,2024-12
24,short,2024-12-26 08:22:00,2024-12-26 17:15:00,70.3667,69.8825,69.8825,,take_profit,0.4842,resistance,0,2,2024-12
25,short,2024-12-26 16:47:00,2025-01-31 21:59:00,69.8825,73.86,69.0825,,end_of_data,-3.9775,resistance,0,1,2024-12
1,short,2025-01-07 07:08:00,2025-01-08 16:28:00,73.415,73.415,73.415,,take_profit,-0.0,resistance,0,2,2025-01
2,short,2025-01-07 16:21:00,2025-02-04 14:03:00,74.43,70.8625,70.8625,,take_profit,3.5675,resistance,0,3,2025-01
3,short,2025-01-08 07:33:00,2025-01-08 16:27:00,74.72,73.4433,73.4433,,take_profit,1.2767,resistance,0,3,2025-01
4,short,2025-01-08 11:05:00,2025-01-08 16:27:00,74.2767,73.4433,73.4433,,take_profit,0.8334,resistance,0,2,2025-01
5,short,2025-01-08 16:22:00,2025-01-27 17:02:00,73.4433,72.6433,72.6433,,take_profit,0.8,resistance,0,1,2025-01
6,short,2025-01-09 07:03:00,2025-01-27 17:02:00,73.4433,72.6433,72.6433,,take_profit,0.8,resistance,0,1,2025-01
7,short,2025-01-22 09:10:00,2025-01-23 16:23:00,76.205,74.72,74.72,,take_profit,1.485,resistance,0,2,2025-01
8,short,2025-01-23 16:23:00,2025-01-27 00:40:00,74.72,73.92,73.92,,take_profit,0.8,resistance,0,1,2025-01
9,long,2025-01-28 16:44:00,2025-01-28 18:59:00,73.0683,73.8683,73.8683,,take_profit,0.8,support,0,1,2025-01
10,long,2025-01-29 09:21:00,2025-02-02 23:00:00,73.0683,73.8683,73.8683,,take_profit,0.8,support,0,1,2025-01
11,long,2025-01-29 18:01:00,2025-01-29 23:09:00,72.56,73.0683,73.0683,,take_profit,0.5083,support,0,2,2025-01
12,long,2025-01-30 08:28:00,2025-01-30 20:42:00,72.56,73.7275,73.7275,,take_profit,1.1675,support,0,3,2025-01
13,long,2025-01-30 14:33:00,2025-01-30 20:42:00,73.0683,73.7275,73.7275,,take_profit,0.6592,support,0,2,2025-01
1,long,2025-02-04 14:42:00,2025-02-04 15:22:00,72.23,73.1467,73.1467,,take_profit,0.9167,support,0,3,2025-02
2,long,2025-02-04 14:49:00,2025-02-04 15:22:00,72.72,73.1467,73.1467,,take_profit,0.4267,support,0,2,2025-02
3,long,2025-02-04 15:21:00,2025-02-11 09:17:00,73.1467,73.1467,73.1467,,take_profit,0.0,support,0,1,2025-02
4,long,2025-02-05 09:06:00,2025-02-11 09:17:00,72.23,73.1467,73.1467,,take_profit,0.9167,support,0,3,2025-02
5,long,2025-02-06 14:53:00,2025-02-11 06:30:00,71.01,72.72,72.72,,take_profit,1.71,support,0,3,2025-02
6,short,2025-02-11 10:00:00,2025-02-12 10:01:00,73.24,72.44,72.44,,take_profit,0.8,resistance,0,1,2025-02
7,long,2025-02-12 08:08:00,2025-02-19 14:16:00,72.72,72.72,72.72,,take_profit,0.0,support,0,1,2025-02
8,long,2025-02-12 14:03:00,2025-02-19 07:04:00,72.21,72.21,72.21,,take_profit,0.0,support,0,2,2025-02
9,long,2025-02-13 07:23:00,2025-02-19 07:04:00,70.79,72.21,72.21,,take_profit,1.42,support,0,3,2025-02
10,long,2025-02-13 09:09:00,2025-02-13 14:58:00,71.105,71.105,71.105,,take_profit,0.0,support,0,2,2025-02
11,long,2025-02-18 13:18:00,2025-02-19 07:04:00,71.0633,72.21,72.21,,take_profit,1.1467,support,0,2,2025-02
12,long,2025-02-19 07:00:00,2025-02-20 17:22:00,72.21,73.01,73.01,,take_profit,0.8,support,0,1,2025-02
13,long,2025-02-25 07:00:00,2025-03-31 15:07:00,71.105,71.105,71.105,,take_profit,0.0,support,0,1,2025-02
14,long,2025-02-25 08:59:00,2025-03-31 14:31:00,70.79,70.79,70.79,,take_profit,0.0,support,0,2,2025-02
15,long,2025-02-25 12:57:00,2025-03-31 15:07:00,70.16,71.105,71.105,,take_profit,0.945,support,0,3,2025-02
16,long,2025-02-27 15:22:00,2025-03-31 15:07:00,70.16,71.105,71.105,,take_profit,0.945,support,0,3,2025-02
1,long,2025-03-05 08:02:00,2025-03-26 15:05:00,67.86,70.16,70.16,,take_profit,2.3,support,0,3,2025-03
2,long,2025-03-11 09:00:00,2025-03-24 16:04:00,66.435,69.2867,69.2867,,take_profit,2.8517,support,0,3,2025-03
3,long,2025-03-12 16:10:00,2025-03-24 10:01:00,67.86,68.66,68.66,,take_profit,0.8,support,0,1,2025-03
4,long,2025-03-13 07:51:00,2025-03-24 10:01:00,67.86,68.66,68.66,,take_profit,0.8,support,0,1,2025-03
5,long,2025-03-18 15:48:00,2025-03-20 15:04:00,67.2,68.0,68.0,,take_profit,0.8,support,0,1,2025-03
6,long,2025-03-19 07:13:00,2025-03-19 16:47:00,66.535,67.335,67.335,,take_profit,0.8,support,0,1,2025-03
7,long,2025-03-19 08:59:00,2025-03-19 10:23:00,66.1733,66.535,66.535,,take_profit,0.3617,support,0,2,2025-03
8,short,2025-03-25 15:24:00,2025-04-03 11:32:00,68.9625,67.735,67.735,,take_profit,1.2275,resistance,0,3,2025-03
1,short,2025-04-02 14:01:00,2025-04-02 20:28:00,71.305,71.305,71.305,,take_profit,-0.0,resistance,0,2,2025-04
2,short,2025-04-02 16:24:00,2025-04-02 22:08:00,71.8567,70.0533,70.0533,,take_profit,1.8034,resistance,0,3,2025-04
3,long,2025-04-03 12:44:00,2025-05-30 20:59:00,66.582,60.79,67.382,,end_of_data,-5.792,support,0,1,2025-04
4,long,2025-04-03 14:55:00,2025-04-03 15:49:00,66.164,66.582,66.582,,take_profit,0.418,support,0,2,2025-04
5,long,2025-04-08 07:35:00,2025-05-30 20:59:00,60.63,60.79,66.582,,end_of_data,0.16,support,0,3,2025-04
6,long,2025-04-09 17:25:00,2025-05-30 20:59:00,60.63,60.79,66.582,,end_of_data,0.16,support,0,3,2025-04
7,long,2025-04-10 08:18:00,2025-05-30 20:59:00,60.63,60.79,66.6025,,end_of_data,0.16,support,0,3,2025-04
8,long,2025-04-15 08:31:00,2025-05-12 05:40:00,61.565,61.565,61.565,,take_profit,0.0,support,0,2,2025-04
9,long,2025-04-16 07:12:00,2025-04-16 08:27:00,60.95,61.565,61.565,,take_profit,0.615,support,0,2,2025-04
10,long,2025-04-16 08:27:00,2025-04-16 13:49:00,61.565,62.365,62.365,,take_profit,0.8,support,0,1,2025-04
11,long,2025-04-29 08:21:00,2025-05-12 05:41:00,61.6067,61.6067,61.6067,,take_profit,0.0,support,0,1,2025-04
12,long,2025-04-29 08:59:00,2025-05-09 09:35:00,60.95,60.95,60.95,,take_profit,0.0,support,0,2,2025-04
13,long,2025-04-29 18:13:00,2025-05-12 05:41:00,60.29,61.6067,61.6067,,take_profit,1.3167,support,0,3,2025-04
1,long,2025-05-01 18:20:00,2025-05-09 09:35:00,59.4233,60.95,60.95,,take_profit,1.5267,support,0,3,2025-05
2,long,2025-05-06 09:05:00,2025-05-06 14:01:00,58.72,59.4233,59.4233,,take_profit,0.7033,support,0,2,2025-05
3,long,2025-05-06 13:22:00,2025-05-07 08:01:00,59.4233,60.2233,60.2233,,take_profit,0.8,support,0,1,2025-05
4,long,2025-05-07 10:41:00,2025-05-08 20:27:00,59.36,60.16,60.16,,take_profit,0.8,support,0,1,2025-05
5,long,2025-05-07 13:35:00,2025-05-08 13:41:00,58.72,59.36,59.36,,take_profit,0.64,support,0,2,2025-05
6,long,2025-05-08 08:06:00,2025-05-08 13:56:00,58.72,59.52,59.52,,take_profit,0.8,support,0,1,2025-05
7,short,2025-05-13 08:50:00,2025-05-14 22:50:00,62.355,62.355,62.355,,take_profit,-0.0,resistance,0,1,2025-05
8,short,2025-05-13 12:42:00,2025-05-14 10:09:00,62.8133,62.8133,62.8133,,take_profit,-0.0,resistance,0,2,2025-05
9,short,2025-05-13 14:30:00,2025-05-14 22:50:00,63.42,62.355,62.355,,take_profit,1.065,resistance,0,3,2025-05
10,short,2025-05-14 07:00:00,2025-05-14 22:50:00,63.42,62.2867,62.2867,,take_profit,1.1333,resistance,0,3,2025-05
11,short,2025-05-14 09:48:00,2025-05-14 22:50:00,62.8275,62.2867,62.2867,,take_profit,0.5408,resistance,0,2,2025-05
12,short,2025-05-20 07:01:00,2025-05-21 16:08:00,62.13,61.33,61.33,,take_profit,0.8,resistance,0,1,2025-05
13,short,2025-05-21 07:19:00,2025-05-21 14:12:00,62.7925,62.1875,62.1875,,take_profit,0.605,resistance,0,2,2025-05
14,short,2025-05-21 14:11:00,2025-05-21 16:08:00,62.1875,61.3875,61.3875,,take_profit,0.8,resistance,0,1,2025-05
15,short,2025-05-28 15:37:00,2025-05-29 13:26:00,62.156,61.356,61.356,,take_profit,0.8,resistance,0,1,2025-05
16,short,2025-05-29 07:06:00,2025-05-29 10:44:00,63.0,62.158,62.158,,take_profit,0.842,resistance,0,2,2025-05
17,short,2025-05-29 10:42:00,2025-05-29 13:26:00,62.158,61.358,61.358,,take_profit,0.8,resistance,0,1,2025-05
1,short,2025-06-03 07:01:00,2025-06-04 15:17:00,62.785,62.785,62.785,,take_profit,-0.0,resistance,0,1,2025-06
2,short,2025-06-03 12:07:00,2025-06-03 23:54:00,63.27,63.27,63.27,,take_profit,-0.0,resistance,0,2,2025-06
3,short,2025-06-03 14:45:00,2025-06-04 15:17:00,63.725,62.785,62.785,,take_profit,0.94,resistance,0,3,2025-06
4,short,2025-06-04 07:22:00,2025-06-04 12:25:00,63.3333,63.3333,63.3333,,take_profit,-0.0,resistance,0,2,2025-06
5,short,2025-06-04 10:04:00,2025-06-04 15:17:00,63.725,62.785,62.785,,take_profit,0.94,resistance,0,3,2025-06
6,short,2025-06-04 15:17:00,2025-07-31 23:59:00,62.785,69.42,61.985,,end_of_data,-6.635,resistance,0,1,2025-06
7,short,2025-06-05 12:46:00,2025-06-05 16:46:00,63.3333,63.3333,63.3333,,take_profit,-0.0,resistance,0,2,2025-06
8,short,2025-06-05 13:00:00,2025-07-31 23:59:00,63.725,69.42,62.785,,end_of_data,-5.695,resistance,0,3,2025-06
9,short,2025-06-18 13:32:00,2025-07-31 23:59:00,74.185,69.42,62.1533,,end_of_data,4.765,resistance,0,3,2025-06
